col1,col2,col3,col4,col5,col6,col7
,,,13-33 11 15 47 Climbing Wall,,,
,,,13-33 11 15 49 Ropes Course Elements,,,
,13-33 13 00 Swimming Pools,,,,,
,,13-33 13 11 Outdoor Swimming Pool,,,,
,,13-33 13 13 Indoor Swimming Pool,,,,
,,,13-33 13 13 11 Diving Tank,,,
,13-33 15 00 Non-Athletic Recreation Spaces,,,,,
,,13-33 15 11 Park,,,,
,,13-33 15 13 Pleasure Garden,,,,
,,13-33 15 15 Indoor Firing Range,,,,
,,13-33 15 17 Outdoor Shooting Range,,,,
,,13-33 15 19 Recreational Deck,,,,
,,13-33 15 21 Playground,,,,
,,13-33 15 23 Game Room,,,,
,,13-33 15 25 Gambling Table,,,,
,,13-33 15 27 Amusement Ride,,,,
,,13-33 15 29 Parade Grounds,,,,
,,13-33 15 31 Computer-Aided Visual Environment,,,,
,,13-33 15 33 Hobby and Craft Center,,,,
,,13-33 15 35 Dance Floors,,,,
,13-33 17 00 Wellness Spaces,,,,,
,,13-33 17 11 Fitness Center,,,,
,,,13-33 17 11 11 Exercise Room,,,
,,,13-33 17 11 13 Weight Room,,,
13-35 00 00 Government Spaces,,,,,,
,13-35 11 00 Judicial Spaces,,,,,
,,13-35 11 11 Courtroom,,,,
,,,13-35 11 11 11 Jury Box,,,
,,,13-35 11 11 13 Jury Room,,,
,,,13-35 11 11 15 Judge’s Bench,,,
,,,13-35 11 11 17 Evidence Room,,,
,,,13-35 11 11 19 Jury Assembly Space,,,
,,,13-35 11 11 21 Witness Stand,,,
,,13-35 11 13 Judge’s Chambers,,,,
,,,13-35 11 13 11 JCC–Judicial Chambers,,,
,,,13-35 11 13 13 Law Clerk Space,,,
,,13-35 11 15 Robing Area/Room,,,,
,,13-35 11 19 Hearing Room,,,,
,,,13-35 11 19 11 JHR–Judicial Hearing Room,,,
,13-35 13 00 Legislative Spaces,,,,,
,,13-35 13 11 Council Chambers,,,,
,,13-35 13 13 Legislative Hearing Room,,,,
,13-35 15 00 Military Spaces,,,,,
,,13-35 15 11 Armory,,,,
,,13-35 15 13 Armory Service Space,,,,
13-37 00 00 Artistic Spaces,,,,,,
,13-37 11 00 Performance Spaces,,,,,
,,13-37 11 11 Outdoor Theater,,,,
,,13-37 11 13 General Performance Spaces,,,,
,,,13-37 11 13 11 Acting Stage,,,
,,,13-37 11 13 13 Orchestra Pit,,,
,,,13-37 11 13 15 Performance Rehearsal Space,,,
,,,13-37 11 13 17 Soundstage,,,
,,,13-37 11 13 19 Performance Hall,,,
,,,13-37 11 13 21 Band Training Space,,,
,,13-37 11 15 Audience Spaces,,,,
,,,13-37 11 15 11 Pre-Function Lobby,,,
,,,13-37 11 15 13 Audience Seating Space,,,
,,13-37 11 17 Supporting Performance Spaces,,,,
,,,13-37 11 17 11 Projection Booth,,,
,,,13-37 11 17 13 Catwalk,,,
,,,13-37 11 17 15 Stage Wings,,,
,,,13-37 11 17 17 Motion Picture Screen Space,,,
,13-37 13 00 Display Spaces,,,,,
,,13-37 13 11 Art Gallery,,,,
,,13-37 13 13 Exhibit Gallery,,,,
,,13-37 13 15 Sculpture Garden,,,,
,,13-37 13 17 Ornamental Garden,,,,
,,13-37 13 19 Observation Deck,,,,
,13-37 15 00 Creative Spaces,,,,,
,,13-37 15 11 Recording Studio,,,,
,,13-37 15 13 Artist’s Studio,,,,
,,13-37 15 15 Photo Lab,,,,
,,,13-37 15 15 11 Motion Picture Exchange,,,
,,13-37 15 17 Media Production,,,,
,,,13-37 15 17 11 Media Production Support,,,
,,,13-37 15 17 13 Sound Lock,,,
,,13-37 15 19 Zen Garden,,,,
13-41 00 00 Museum Spaces,,,,,,
,13-41 11 00 Museum Gallery,,,,,
13-45 00 00 Library Spaces,,,,,,
,13-45 11 00 Library,,,,,
,,13-45 11 11 Library Stack,,,,
13-47 00 00 Spiritual Spaces,,,,,,
,13-47 11 00 Worship spaces,,,,,
,,13-47 11 11 Meditation Chapel,,,,
,,13-47 11 13 Altar,,,,
,,13-47 11 15 Reflection Space,,,,
,,13-47 11 17 Blessing Space,,,,
,,13-47 11 19 Chapel,,,,
,,13-47 11 21 Mihrab,,,,
,,13-47 11 23 Shrine,,,,
,,13-47 11 25 Sanctuary,,,,
,,13-47 11 27 Confessional Space,,,,
,,13-47 11 29 Ark,,,,
,,13-47 11 31 Bimah,,,,
,,13-47 11 33 Tabernacle,,,,
,,13-47 11 35 Pulpit,,,,
,,13-47 11 37 Choir Loft,,,,
,13-47 13 00 Ceremonial Spaces,,,,,
,,13-47 13 11 Marriage Sanctuary,,,,
,,13-47 13 13 Baptistery,,,,
,,13-47 13 15 Circumcision Space,,,,
,,13-47 13 17 Cathedra,,,,
,13-47 15 00 Procession Spaces,,,,,
,13-47 17 00 Death Spaces,,,,,
,,13-47 17 11 Crypt,,,,
,,13-47 17 13 Morgue,,,,
,,,13-47 17 13 11 Morgue Compartment,,,
,,13-47 17 17 Grave Space,,,,
13-49 00 00 Environmentally Controlled Spaces,,,,,,
,13-49 11 00 Anechoic Chamber,,,,,
,13-49 13 00 Hazard Containment,,,,,
,13-49 15 00 Clean Room,,,,,
,,13-49 15 11 Clean Room Class 1,,,,
,,13-49 15 13 Clean Room Class 2,,,,
,,13-49 15 15 Clean Room Class 3,,,,
,,13-49 15 17 Clean Room Class 4,,,,
,,13-49 15 19 Clean Room Class 5,,,,
,,13-49 15 21 Clean Room Class 6,,,,
,,13-49 15 23 Clean Room Class 7,,,,
,,13-49 15 25 Clean Room Class 8,,,,
,,13-49 15 27 Clean Room Class 9,,,,
,,13-49 15 29 Clean Room Support Space,,,,
,13-49 17 00 Temperature and Pressure Chamber,,,,,
,13-49 19 00 Data Center,,,,,
,,13-49 19 11 Data Center Tier I,,,,
,,13-49 19 13 Data Center Tier II,,,,
,,13-49 19 15 Data Center Tier III,,,,
,,13-49 19 17 Data Center Tier IV,,,,
,,13-49 19 19 Data Center Support Space,,,,
,13-49 21 00 Controlled Space Support,,,,,
,13-49 23 00 Miscellaneous Environmentally Controlled Spaces,,,,,
,,13-49 23 11 Film Storage Vault,,,,
,,13-49 23 13 Computer Server Room,,,,
13-51 00 00 Healthcare Spaces,,,,,,
,13-51 11 00 General Examination Spaces,,,,,
,,13-51 11 11 Exam Room,,,,
,,"13-51 11 13 Exam Room, Airborne Infection Isolation",,,,
,,"13-51 11 15 Exam Room, Isolation",,,,
,,"13-51 11 17 Exam Room, OB/Gyn",,,,
,,"13-51 11 19 Exam Room, Pediatric",,,,
,,"13-51 11 21 Exam Room, Protective Environment Isolation",,,,
,,"13-51 11 23 Exam Room, Podiatry",,,,
,,"13-51 11 25 Exam Room, Security",,,,
,,13-51 11 27 Height/Weight Screening Space,,,,
,,"13-51 11 29 Holding Room, Secured",,,,
,13-51 14 00 Inpatient Care Spaces,,,,,
,,"13-51 14 11 Anteroom, Inpatient Airborne Infection Isolation",,,,
,,"13-51 14 13 Anteroom, Inpatient Protective Environment Isolation",,,,
,,"13-51 14 17 Anteroom, Inpatient Isolation/Seclusion",,,,
,,"13-51 14 19 Labor, Delivery, Recovery, Postpartum Room",,,,
,,13-51 14 21 Medical Information Computer System Room,,,,
,,13-51 14 23 Newborn Nursery,,,,
,,13-51 14 25 NICU Nursery,,,,
,,13-51 14 27 Nursery Transport Unit Alcove,,,,
,,"13-51 14 29 Nursery, Airborne Infection Isolation",,,,
,,"13-51 14 31 Nursery, Observation",,,,
,,"13-51 14 33 Nursery, Special Care",,,,
,,13-51 14 35 Patient Room,,,,
,,,"13-51 14 35 11 Patient Room, Airborne Infection Isolation",,,
,,,"13-51 14 35 13 Patient Room, Bariatric",,,
,,,"13-51 14 35 15 Patient Room, Intensive Care",,,
,,,"13-51 14 35 17 Patient Room, Intensive Care, Airborne Infection Isolation",,,
,,,"13-51 14 35 19 Patient Room, Intensive Care, Protective Environment Isolation",,,
,,,"13-51 14 35 21 Patient Room, Isolation",,,
,,,"13-51 14 35 23 Patient Room, Monitored",,,
,,,"13-51 14 35 25 Patient Room, One-Bed",,,
,,,"13-51 14 35 27 Patient Room, Protective Environment Isolation",,,
,,,"13-51 14 35 29 Patient Room, Seclusion",,,
,,,"13-51 14 35 31 Patient Room, Transitional, One-Bed",,,
,,,"13-51 14 35 33 Patient Room, Two-Bed",,,
,13-51 17 00 Multi-Medical Service Support Spaces,,,,,
,,"13-51 17 11 Clean Linen Storage Room, Healthcare",,,,
,,"13-51 17 13 Clean Supply Room, Healthcare",,,,
,,"13-51 17 15 Clean Utility Room, Healthcare",,,,
,,"13-51 17 17 Consultation Room, Patient",,,,
,,13-51 17 19 Mental Health Interview/Counseling Room,,,,
,,"13-51 17 21 Equipment Storage Room, Healthcare",,,,
,,13-51 17 22 Medical Records Storage Room,,,,
,,13-51 17 23 Nurse Workspaces,,,,
,,,13-51 17 23 11 Nurse Station,,,
,,,13-51 17 23 13 Nurse Station/Communication Center,,,
,,,13-51 17 23 15 Nurse Sub-Station,,,
,,,13-51 17 23 17 Nurse Triage Space,,,
,,"13-51 17 25 Soiled Utility Room, Healthcare",,,,
,,"13-51 17 27 Soiled Utility/Supply Room, Healthcare",,,,
,,13-51 17 29 Mental Health Multipurpose Room w/Control Room,,,,
,,13-51 17 31 Resuscitation Cart Alcove,,,,
,,13-51 17 35 Mental Health Quiet Room,,,,
,13-51 21 00 Diagnostic Imaging Spaces,,,,,
,,13-51 21 11 Angiographic Procedure Room,,,,
,,13-51 21 13 Bone Densitometry Room,,,,
,,13-51 21 15 CT Scanning Room,,,,
,,13-51 21 17 CT Simulator Room,,,,
,,13-51 21 19 Cystoscopic Radiology Room,,,,
,,13-51 21 21 Head Radiographic Room,,,,
,,13-51 21 23 Mammography Room,,,,
,,13-51 21 25 Mobile Imaging System Alcove,,,,
,,13-51 21 27 MRI Scanning Room,,,,
,,13-51 21 29 MRI System Component Room,,,,
,,13-51 21 31 PET/CT Scanning Room,,,,
,,13-51 21 33 PET/CT Simulator Room,,,,
,,13-51 21 35 Radiographic Chest Room,,,,
,,13-51 21 37 Radiographic Room,,,,
,,13-51 21 39 Radiographic/Fluoroscopic Room,,,,
,,13-51 21 41 Radiographic/Tomographic Room,,,,
,,13-51 21 43 Radiology Computer Systems Room,,,,
,,13-51 21 45 Stereotactic Mammography Room,,,,
,,13-51 21 47 Ultrasound Room,,,,
,,13-51 21 49 Ultrasound/Optical Coherence Tomography Room,,,,
,,13-51 21 51 Whole Body Scanning Room,,,,
,13-51 24 00 Diagnostic Imaging Support Spaces,,,,,
,,13-51 24 11 Angiographic Control Room,,,,
,,13-51 24 13 Angiographic Instrument Room,,,,
,,13-51 24 15 Angiographic Procedure Control Area,,,,
,,13-51 24 17 Angiographic System Component Room,,,,
,,"13-51 24 19 Silver Collection Area, Diagnostic Imaging",,,,
,,13-51 24 21 Computed Radiology Reader Area,,,,
,,"13-51 24 23 Computer Image Processing Area, Diagnostic Imaging",,,,
,,"13-51 24 24 X-Ray, Digital Image Storage Space",,,,
,,13-51 24 25 CT Control Area,,,,
,,13-51 24 27 CT Power and Equipment Room,,,,
,,13-51 24 29 Image Quality Control Room,,,,
,,13-51 24 31 Image Reading Room,,,,
,,"13-51 24 32 X-Ray, Plane Film Storage Space",,,,
,,13-51 24 33 Mammography Processing Room,,,,
,,"13-51 24 34 X-Ray Film, Daylight Processing Space",,,,
,,13-51 24 35 MRI Control Room,,,,
,,13-51 24 37 MRI Equipment Storage Room,,,,
,,13-51 24 39 MRI Viewing Room,,,,
,,13-51 24 41 PET/CT Control Room,,,,
,,13-51 24 43 Radiographic Control Room,,,,
,,13-51 24 45 Radiographic Darkroom,,,,
,,13-51 24 47 Tele-Radiology/Tele-Medicine Room,,,,
,,"13-51 24 49 Viewing/Consultation Room, Diagnostic Imaging",,,,
,,"13-51 24 51 X-Ray, Mobile C-Arm Alcove",,,,
,13-51 27 00 Radiation Diagnostic and Therapy Spaces,,,,,
,,"13-51 27 11 Equipment Calibration Space, Radiation Diagnostic and Therapy",,,,
,,13-51 27 13 Health Physics Laboratory,,,,
,,"13-51 27 15 Linear Accelerator Component Room, Healthcare",,,,
,,"13-51 27 17 Linear Accelerator Entrance Maze, Healthcare",,,,
,,"13-51 27 19 Linear Accelerator Room, Healthcare",,,,
,,"13-51 27 21 Linear Accelerator Control Room, Healthcare",,,,
,,"13-51 27 23 Radioactive Waste Storage Room, Healthcare",,,,
,,13-51 27 25 Nuclear Medicine Dose Calibration Space,,,,
,,13-51 27 27 Nuclear Medicine Scanning Room,,,,
,,"13-51 27 29 Nuclear Medicine Patient ""Hot"" Waiting Room",,,,
,,13-51 27 31 Patient Dose/Thyroid Uptake Room,,,,
,,13-51 27 33 Radiation Dosimetry Planning Room,,,,
,,13-51 27 35 Radiopharmacy,,,,
,,13-51 27 37 Radium Cart Holding Space,,,,
,,"13-51 27 38 Radiation Therapy, Mold Fabrication Shop",,,,
,,13-51 27 39 Sealed Source Room,,,,
,13-51 31 00 Heart and Lung Diagnostic and Treatment Spaces,,,,,
,,13-51 31 11 Brachytherapy Room,,,,
,,13-51 31 13 Cardiac Catheter Instrument Room,,,,
,,13-51 31 15 Cardiac Catheter System Component Room,,,,
,,13-51 31 17 Cardiac Catheterization Control Room,,,,
,,13-51 31 19 Cardiac Catheterization Laboratory,,,,
,,13-51 31 21 Cardiac Electrophysiology Room,,,,
,,13-51 31 23 Cardiac Testing Room,,,,
,,13-51 31 25 Echocardiograph Room,,,,
,,13-51 31 27 EKG Testing Room,,,,
,,13-51 31 29 Extended Pulmonary Function Testing Laboratory,,,,
,,13-51 31 31 Microvascular Laboratory,,,,
,,13-51 31 33 Pacemaker ICD Interrogation Room,,,,
,,13-51 31 35 Pacemaker/Holter Monitor Room,,,,
,,13-51 31 37 Procedure Viewing Area,,,,
,,13-51 31 39 Pulmonary Function Testing Laboratory,,,,
,,13-51 31 40 Pulmonary Function Treadmill Room,,,,
,,13-51 31 41 Pulmonary Screening Room,,,,
,,13-51 31 43 Respiratory Inhalation Cubicle,,,,
,,13-51 31 45 Respiratory Therapy Clean-up Room,,,,
,,13-51 31 47 Spirometry Test Room,,,,
,,13-51 31 49 Stress Echocardiograph Room,,,,
,,13-51 31 51 Stress Testing Treadmill Room,,,,
,,13-51 31 53 Transesophageal Echocardiography Room,,,,
,13-51 34 00 General Diagnostic Procedure and Treatment Spaces,,,,,
,,13-51 34 11 Allergen Preparation Space,,,,
,,13-51 34 13 Allergy Injection Room,,,,
,,13-51 34 15 Allergy Skin Testing,,,,
,,13-51 34 17 Antepartum Testing (NST) Room,,,,
,,13-51 34 19 Biofeedback Treatment Control/Office,,,,
,,13-51 34 21 Biofeedback Treatment Room,,,,
,,13-51 34 23 Cast and Splint Room,,,,
,,13-51 34 25 Chemotherapy Treatment Room,,,,
,,13-51 34 27 Dermatology Cryotherapy Space,,,,
,,13-51 34 29 Dermatology Procedure Room,,,,
,,13-51 34 31 Dialysis Clean Equipment Preparation Room,,,,
,,13-51 34 33 Dialysis Soiled Equipment Processing,,,,
,,13-51 34 35 Dialysis Training Room,,,,
,,13-51 34 37 EEG Exam Room,,,,
,,13-51 34 39 EEG Instrument and Work Room,,,,
,,13-51 34 41 EEG/Sleep Study Monitoring Room,,,,
,,13-51 34 43 Electromyography Room,,,,
,,13-51 34 45 ENT Procedure Room,,,,
,,13-51 34 47 Evoked Potential Response Room,,,,
,,13-51 34 49 General Purpose Dirty Treatment Room,,,,
,,13-51 34 51 Immunization Room,,,,
,,13-51 34 53 Infectious Disease Decontamination Shower,,,,
,,13-51 34 55 Infectious Disease Decontamination Suite,,,,
,,13-51 34 57 Life Support Unit Room,,,,
,,13-51 34 61 OB/GYN Treatment Room,,,,
,,13-51 34 63 Patient Observation and Treatment Room,,,,
,,13-51 34 65 Pentamidine Treatment Room,,,,
,,13-51 34 67 Peritoneal Dialysis Exam Room,,,,
,,13-51 34 69 Peritoneal Dialysis Procedure Room,,,,
,,13-51 34 71 Phototherapy Treatment Room,,,,
,,"13-51 34 73 Renal Dialysis Bed Station, Private",,,,
,,"13-51 34 75 Renal Dialysis Room, Negative Pressure",,,,
,,"13-51 34 77 Renal Dialysis, Chair Station, Cubicle",,,,
,,"13-51 34 78 Renal Dialysis, Water Treatment Room",,,,
,,13-51 34 79 Sleep Study Room,,,,
,,"13-51 34 81 Provider Trainee Observation Area, Healthcare",,,,
,,"13-51 34 83 Treatment Cubicle, Healthcare",,,,
,,"13-51 34 85 Treatment Room, Healthcare",,,,
,,13-51 34 87 Neuropsychology Testing Laboratory,,,,
,13-51 37 00 Eye and Ear Healthcare Spaces,,,,,
,,13-51 37 11 Audiology Immittance Room,,,,
,,13-51 37 13 Audiometric Exam Booth,,,,
,,13-51 37 15 Audiometric Exam Suite,,,,
,,13-51 37 17 Audiometric Multi-Exam Suite,,,,
,,13-51 37 19 Audiology Electrophysiology Exam Room,,,,
,,13-51 37 20 Hearing Aid Testing Laboratory,,,,
,,13-51 37 21 Electroretinography Room,,,,
,,13-51 37 23 ENT Exam Room,,,,
,,"13-51 37 25 Exam/Training Room, Low Vision",,,,
,,13-51 37 27 Eye Lane,,,,
,,13-51 37 29 Laser Treatment Room,,,,
,,13-51 37 31 Ophthalmology Procedure Room,,,,
,,13-51 37 33 Ophthalmology/Optometry Exam Room,,,,
,,"13-51 37 35 Photography Room, Ophthalmology/Optometry",,,,
,,13-51 37 37 PRK/LASIK Treatment Room,,,,
,,13-51 37 39 Sinusoidal Vertical Axis Rotational Rest Room,,,,
,,13-51 37 41 Tilt Table Testing Room,,,,
,,"13-51 37 43 Training Room, Low Vision, Polytrauma",,,,
,,13-51 37 45 Ultrasound/Optical Coherence Tomography Room,,,,
,,13-51 37 47 Vestibulography Room,,,,
,,13-51 37 49 Vision/Hearing Screening Room,,,,
,,13-51 37 51 Vision Screening Room,,,,
,,13-51 37 53 Vision Testing Station,,,,
,,13-51 37 55 Visual Fields Room,,,,
,,"13-51 37 57 Eye, Contact Lens Fitting/Dispensing Space",,,,
,,13-51 37 59 Eyeglass Fitting and Dispensing Space,,,,
,13-51 41 00 Endoscopy/Gastroenterology Spaces,,,,,
,,13-51 41 11 Bronchoscopy Equipment Preparation Room,,,,
,,13-51 41 13 Bronchoscopy Procedure Room,,,,
,,"13-51 41 15 Endoscope Clean-up, Sterilization, and Storage Room",,,,
,,13-51 41 17 Endoscopy Room,,,,
,,13-51 41 19 Gastroenterology Laboratory,,,,
,,13-51 41 21 Proctoscopy/Sigmoidoscopy Room,,,,
,,13-51 41 23 Urodynamics Treatment Room,,,,
,13-51 44 00 Surgical Spaces,,,,,
,,13-51 44 11 Anesthesia Workroom and Equipment Storage,,,,
,,13-51 44 13 Cardiac Operating Room,,,,
,,13-51 44 15 Cardiac Pump Room,,,,
,,13-51 44 17 Cesarean Birth Room,,,,
,,13-51 44 19 Cystoscopy Room,,,,
,,"13-51 44 21 Equipment Storage Room, Surgical",,,,
,,13-51 44 23 Frozen Section Laboratory,,,,
,,13-51 44 25 General Operating Room,,,,
,,13-51 44 27 Nerve Block Induction Room,,,,
,,13-51 44 29 Neurosurgery Operating Room,,,,
,,13-51 44 31 Orthopedic Operating Room,,,,
,,"13-51 44 33 Patient Holding Area, Surgical",,,,
,,13-51 44 35 Postanesthesia Recovery Cubicle,,,,
,,13-51 44 37 Postanesthesia Recovery Isolation Room,,,,
,,13-51 44 39 Postoperative Recovery Lounge,,,,
,,"13-51 44 41 Preparation/Recovery Spaces, Surgical",,,,
,,,"13-51 44 41 11 Preparation/Recovery Cubicle, Surgical",,,
,,,"13-51 44 41 13 Preparation/Recovery Room, Surgical",,,
