Assembly-AssemblyType,Category-Connection,Category-Coordinate,Category-Document,Category-Element,Category-Facility,Category-Floor,Category-Impact,Category-Issue,Category-Job,Category-Product,Category-Resource,Category-Role,Category-Space,Category-Spare,Category-Zone,Document-ApprovalBy,Impact-ImpactStage,Issue-Chance,Issue-Impact,Issue-Risk,Job-Status,SheetName,SheetName-Assembly,SheetName-Coordinate,Stage,Type-AssetType,Units-Area,Units-Currency,Units-Duration,Units-Impact,Units-Linear,Units-Volume,objAssembly,objAttribute,objAttributeType,objComponent,objConnection,objContact,objCoordinate,objDocument,objFacility,objFloor,objImpact,objIssue,objJob,objProject,objResource,objSite,objSpace,objSpare,objSystem,objType,objWarranty,objZone
,,,,21-01 10 20 30 Special Foundation Walls,11-11 21 17 11 Auditorium and Theater Facility,,,,,23-11 11 11 21 Stabilizing Ground Anchor Tiebacks,,34-11 10 14 Chairperson,13-15 00 00 Wall Spaces,,,,,,,,,Issue,Space,,,,,,,,,,,,,IfcDistributionElement ,,,,,,,,,,,,,,,,IfcCableSegmentType ,,
,,,,21-01 10 20 40 Foundation Anchors,11-11 21 17 14 Outdoor Theater,,,,,23-11 11 13 Earth Reinforcement Anchors,,34-11 10 17 Board Member,13-15 11 00 Exterior Wall Space,,,,,,,,,Job,Spare,,,,,,,,,,,,,IfcDistributionFlowElement ,,,,,,,,,,,,,,,,IfcChillerType ,,
,,,,21-01 10 20 50 Underpinning,11-11 21 21 Casino,,,,,23-11 11 13 11 Earth Reinforcement Soil Nails,,34-11 20 00 Operational Management Roles,13-15 13 00 Interior Wall Space,,,,,,,,,Resource,System,,,,,,,,,,,,,IfcDoor ,,,,,,,,,,,,,,,,IfcCoilType ,,
,,,,21-01 10 20 60 Raft Foundations,11-11 21 22 Theme Park,,,,,23-11 13 00 Ground Improvement Products,,34-11 20 11 Executive,13-17 00 00 Encroachment Spaces,,,,,,,,,Space,Type,,,,,,,,,,,,,IfcElectricalElement ,,,,,,,,,,,,,,,,IfcColumnType ,,
,,,,21-01 10 20 70 Pile Caps,11-11 21 23 Fair or Circus Ground,,,,,23-11 13 11 Soil Stabilization Products,,34-11 20 14 Officer,13-17 11 00 Interior Encroachment,,,,,,,,,Spare,Zone,,,,,,,,,,,,,IfcElectricDistributionPoint ,,,,,,,,,,,,,,,,IfcCompressorType ,,
,,,,21-01 10 20 80 Grade Beams,11-11 21 24 Race Track,,,,,23-11 13 11 11 Soil Stabilization Injectable Chemicals,,34-11 20 17 Director,13-17 13 00 Perimeter Encroachment,,,,,,,,,System,,,,,,,,,,,,,,IfcElementAssembly ,,,,,,,,,,,,,,,,IfcCondenserType ,,
,,,,21-01 20 Subgrade Enclosures,11-11 21 24 11 Horse Racing Track,,,,,23-11 13 11 13 Soil Stabilization Pressure Grouting,,34-11 20 21 Manager,13-21 00 00 Parking Spaces,,,,,,,,,Type,,,,,,,,,,,,,,IfcEnergyConversionDevice  ,,,,,,,,,,,,,,,,IfcControllerType ,,
,,,,21-01 20 10 Walls for Subgrade Enclosures,11-11 21 24 14 Dog Racing Track,,,,,23-11 13 11 15 Ground Freezing Soil Stabilization,,34-11 20 24 Supervisor,13-21 11 00 Exterior Parking Spaces,,,,,,,,,Zone,,,,,,,,,,,,,,IfcEquipmentElement ,,,,,,,,,,,,,,,,IfcCooledBeamType ,,
,,,,21-01 20 10 10 Subgrade Enclosure Wall Construction,11-11 21 24 17 Automobile Racing Track,,,,,23-11 13 11 17 Soil Stabilization Fills,,34-11 20 27 Coordinator,13-21 11 11 Exterior Parking Circulation,,,,,,,,,,,,,,,,,,,,,,,IfcFastener ,,,,,,,,,,,,,,,,IfcCoolingTowerType ,,
,,,,21-01 20 10 20 Subgrade Enclosure Wall Interior Skin,11-11 21 27 Arena,,,,,23-11 13 11 17 11 Soil Stabilization Fill Blocks,,34-11 20 31 Scheduler,13-21 11 13 Exterior Parking Access Control Point,,,,,,,,,,,,,,,,,,,,,,,IfcFlowController,,,,,,,,,,,,,,,,IfcCurtainWallType ,,
,,,,21-01 20 10 90 Subgrade Enclosure Wall Supplementary Components,11-12 00 00 Education Facility,,,,,23-11 13 11 17 13 Soil Stabilization Compressible Fill,,34-11 20 34 Project Lead,13-21 11 15 Exterior Parking Stall,,,,,,,,,,,,,,,,,,,,,,,IfcFlowFitting ,,,,,,,,,,,,,,,,IfcDamperType ,,
,,,,21-01 40 Slabs-On-Grade,11-12 11 00 Daycare or Preschool Facility,,,,,23-11 13 11 19 Other Soil Stabilizations,,34-20 00 00 Development Roles,13-21 13 00 Interior Parking Spaces,,,,,,,,,,,,,,,,,,,,,,,IfcFlowMovingDevice ,,,,,,,,,,,,,,,,IfcDiscreteAccessoryType,,
,,,,21-01 40 10 Standard Slabs-on-Grade,11-12 11 11 Daycare Facility,,,,,23-11 13 11 21 Piped Field Drainage,,34-20 11 00 Design Roles,13-21 13 11 Interior Parking Ramp and Circulation,,,,,,,,,,,,,,,,,,,,,,,IfcFlowSegment ,,,,,,,,,,,,,,,,IfcDistributionChamberElementType ,,
,,,,21-01 40 20 Structural Slabs-on-Grade,11-12 11 14 Preschool Facility,,,,,23-11 13 11 21 11 Field Drainage Land Drainage Pipes,,34-20 11 11 Architect,13-21 13 13 Interior Parking Access Control Point,,,,,,,,,,,,,,,,,,,,,,,IfcFlowStorageDevice ,,,,,,,,,,,,,,,,IfcDistributionElementType ,,
,,,,21-01 40 30 Slab Trenches,11-12 21 00 K through 12 Learning Facility,,,,,23-11 13 11 23 Field Drainage Blocks,,34-20 11 21 Engineer,13-21 13 15 Interior Parking Stall,,,,,,,,,,,,,,,,,,,,,,,IfcFlowTerminal ,,,,,,,,,,,,,,,,IfcDoorStyle ,,
,,,,21-01 40 40 Pits and Bases,11-12 21 11 Kindergarten,,,,,23-11 13 11 25 Field Drainage Geocomposite Drains,,34-20 11 31 Designer,13-21 13 17 Interior Vehicle Service Space,,,,,,,,,,,,,,,,,,,,,,,IfcFlowTreatmentDevice ,,,,,,,,,,,,,,,,IfcDuctFittingType ,,
,,,,21-01 40 90 Slab-On-Grade Supplementary Components,11-12 21 14 Elementary School,,,,,23-11 13 11 25 11 Field Drainage Geocomposite Edge Drains,,34-20 11 41 Specifier,13-23 00 00 Facility Service Spaces,,,,,,,,,,,,,,,,,,,,,,,IfcFooting ,,,,,,,,,,,,,,,,IfcDuctSegmentType ,,
,,,,21-01 40 90 10 Perimeter Insulation,11-12 21 21 Middle School,,,,,23-11 13 11 25 13 Field Drainage Geocomposite In Place Wall Drains,,34-20 21 00 Planning Roles,13-23 11 00 Vertical Penetration,,,,,,,,,,,,,,,,,,,,,,,IfcFurnishingElement ,,,,,,,,,,,,,,,,IfcDuctSilencerType ,,
,,,,21-01 40 90 20 Vapor Retarder,11-12 21 31 High School,,,,,23-11 13 11 27 Geotextile Subsurface Drainage Filtration,,34-20 21 11 Planner,13-23 11 11 Mechanical Circulation,,,,,,,,,,,,,,,,,,,,,,,IfcMechanicalFastener ,,,,,,,,,,,,,,,,IfcElectricApplianceType ,,
,,,,21-01 40 90 30 Waterproofing,11-12 24 00 Higher Education Facility,,,,,23-11 15 00 Sheeting and Revetments,,34-20 21 14 Cost Estimator,13-23 11 11 11 Elevator Shaft,,,,,,,,,,,,,,,,,,,,,,,IfcMember ,,,,,,,,,,,,,,,,IfcElectricFlowStorageDeviceType ,,
,,,,21-01 40 90 50 Mud Slab,11-12 24 11 University,,,,,23-11 15 11 Sheeting Geosynthetics,,34-20 21 17 Scheduler,13-23 11 11 13 Elevator Pit,,,,,,,,,,,,,,,,,,,,,,,IfcOpeningElement ,,,,,,,,,,,,,,,,IfcElectricGeneratorType ,,
,,,,21-01 40 90 60 Subbase Layer,11-12 24 13 Business School,,,,,23-11 15 11 11 Sheeting Geotextiles,,34-20 31 00 Surveyor,13-23 11 11 15 Elevator Cab,,,,,,,,,,,,,,,,,,,,,,,IfcPile ,,,,,,,,,,,,,,,,IfcElectricHeaterType ,,
,,,,21-01 60 Water and Gas Mitigation,11-12 24 14 Science College,,,,,23-11 15 11 13 Sheeting Geogrids,,34-20 41 00 Contract Administrator,13-23 11 11 17 Elevator Machine Room,,,,,,,,,,,,,,,,,,,,,,,IfcPlate ,,,,,,,,,,,,,,,,IfcElectricMotorType ,,
,,,,21-01 60 10 Building Subdrainage,11-12 24 17 Agricultural School,,,,,23-11 15 11 15 Sheeting Geomembranes,,34-20 51 00 Observational Roles,13-23 11 11 19 Dumbwaiter,,,,,,,,,,,,,,,,,,,,,,,IfcProjectionElement ,,,,,,,,,,,,,,,,IfcElectricTimeControlType ,,
,,,,21-01 60 10 10 Foundation Drainage,11-12 24 21 Art School,,,,,23-11 15 11 17 Sheeting Geocomposites,,34-20 51 11 Reviewer,13-23 11 11 21 Escalator,,,,,,,,,,,,,,,,,,,,,,,IfcRailing ,,,,,,,,,,,,,,,,IfcEvaporativeCoolerType ,,
,,,,21-01 60 10 20 Underslab Drainage,11-12 24 24 Vocational College,,,,,23-11 15 11 19 Sheeting Mulch Control Netting,,34-20 51 14 Review Board,13-23 11 11 23 Freight Elevator,,,,,,,,,,,,,,,,,,,,,,,IfcRamp ,,,,,,,,,,,,,,,,IfcEvaporatorType ,,
,,,,21-01 60 20 Off-Gassing Mitigation,11-12 24 27 Liberal Arts College,,,,,23-11 15 11 21 Sheeting Synthetic Erosion Controls,,34-20 51 17 Inspector,13-23 11 13 Stairway,,,,,,,,,,,,,,,,,,,,,,,IfcRampFlight ,,,,,,,,,,,,,,,,IfcFanType ,,
,,,,21-01 60 20 10 Radon Mitigation,11-12 24 31 Military Academy,,,,,23-11 15 11 23 Sheeting Re vegetation Mats,,34-20 51 21 Observer,13-23 11 13 11 Egress Stairway,,,,,,,,,,,,,,,,,,,,,,,IfcReinforcingBar ,,,,,,,,,,,,,,,,IfcFastenerType ,,
,,,,21-01 60 20 50 Methane Mitigation,11-12 24 34 Professional College,,,,,23-11 15 11 25 Sheeting Turf Reinforcement Mats,,34-35 00 00 Execution Roles,13-23 11 13 13 Tenant Stairway,,,,,,,,,,,,,,,,,,,,,,,IfcRoof ,,,,,,,,,,,,,,,,IfcFilterType ,,
,,,,21-01 90 Substructure Related Activities,11-12 29 00 Library,,,,,23-11 15 13 Revetments,,34-35 10 00 Procurement Roles,13-23 11 15 Monumental Stair,,,,,,,,,,,,,,,,,,,,,,,IfcRoundedEdgeFeature ,,,,,,,,,,,,,,,,IfcFireSuppressionTerminalType ,,
,,,,21-01 90 10 Substructure Excavation,11-12 29 11 General Purpose Library,,,,,23-11 15 13 11 Revetment Soil Blankets,,34-35 10 11 Manufacturer,13-23 11 17 Ramp,,,,,,,,,,,,,,,,,,,,,,,IfcSlab ,,,,,,,,,,,,,,,,IfcFlowInstrumentType ,,
,,,,21-01 90 10 10 Backfill and Compaction,11-12 29 14 Children’s Library,,,,,23-11 15 13 13 Pool Revetments,,34-35 10 14 Fabricator,13-23 11 19 Chimney,,,,,,,,,,,,,,,,,,,,,,,IfcStair ,,,,,,,,,,,,,,,,IfcFlowMeterType ,,
,,,,21-01 90 20 Construction Dewatering,11-12 29 17 Special Library,,,,,23-11 15 13 15 Trench Revetments,,34-35 10 17 Distributor,13-23 11 21 Chute,,,,,,,,,,,,,,,,,,,,,,,IfcStairFlight ,,,,,,,,,,,,,,,,IfcFurnishingElementType ,,
,,,,21-01 90 30 Excavation Support,11-12 29 21 Academic Library,,,,,23-11 15 13 17 Revetment Rock Linings,,34-35 10 21 Supplier,13-23 11 23 Service Riser Space,,,,,,,,,,,,,,,,,,,,,,,IfcTendonAnchor ,,,,,,,,,,,,,,,,IfcFurnitureType ,,
,,,,21-01 90 30 10 Anchor Tiebacks,11-13 00 00 Public Service Facility,,,,,23-11 15 13 19 Revetment Ripraps,,34-35 10 21 11 Product Representative,13-23 11 23 11 Power Distribution Riser,,,,,,,,,,,,,,,,,,,,,,,IfcTransportElement ,,,,,,,,,,,,,,,,IfcGasTerminalType ,,
,,,,21-01 90 30 20 Cofferdams,11-13 11 00 Government Facility,,,,,23-11 17 00 Retention Structures,,34-35 10 24 Buyer,13-23 11 23 13 Information Signal Distribution Riser,,,,,,,,,,,,,,,,,,,,,,,IfcWall ,,,,,,,,,,,,,,,,IfcHeatExchangerType ,,
,,,,21-01 90 30 40 Cribbing and Walers,11-13 11 11 Administrative Government Facility,,,,,23-11 17 11 Sheet Piles,,34-35 15 00 Construction Roles,13-23 11 23 15 Gas Distribution Riser,,,,,,,,,,,,,,,,,,,,,,,IfcWallStandardCase ,,,,,,,,,,,,,,,,IfcHumidifierType ,,
,,,,21-01 90 30 60 Ground Freezing,11-13 11 14 Regulatory Agency Facility,,,,,23-11 17 13 Retaining Walls,,34-35 15 11 Contractor,13-23 11 23 17 Liquid Distribution Riser,,,,,,,,,,,,,,,,,,,,,,,IfcWindow ,,,,,,,,,,,,,,,,IfcJunctionBoxType ,,
,,,,21-01 90 30 70 Slurry Walls,11-13 11 17 Courthouse,,,,,23-11 17 13 11 Retaining Diaphragm Walls,,34-35 15 14 Sub Contractor,"13-23 12 00 Horizontal Infrastructure/Service Space, Non-Occupied",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcLampType ,,
,,,,21-01 90 40 Soil Treatment,11-13 11 21 Legislative Facility,,,,,23-11 17 13 11 11 Retaining Slurry Wall Membranes,,34-35 15 17 Project Engineer,13-23 12 11 Power Distribution Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcLightFixtureType ,,
,,,,21-02 00 00 Shell,11-13 11 23 Public Health and Safety Facility,,,,,23-11 17 13 13 Continuous Retaining Walls,,34-35 15 21 Tradesperson,13-23 12 13 Information Signal Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcMechanicalFastenerType  ,,
,,,,21-02 10 Superstructure,11-13 11 23 11 National Center,,,,,23-11 17 13 15 Retaining Crib Walls,,34-35 15 21 11 Craftsperson,13-23 12 15 Gas Distribution Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcMemberType ,,
,,,,21-02 10 10 Floor Construction,11-13 11 23 14 Regional Fusion Center,,,,,23-11 17 15 Gabions,,34-35 15 21 14 Journeyman,13-23 12 17 Liquid Distribution Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcMotorConnectionType ,,
,,,,21-02 10 10 10 Floor Structural Frame,11-13 11 24 Police Station,,,,,23-11 17 17 Fascines,,34-35 15 21 17 Apprentice,13-23 13 00 Control Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcOutletType ,,
,,,,"21-02 10 10 20 Floor Decks, Slabs, and Toppings",11-13 11 24 11 Booking Facility,,,,,23-11 19 00 Slide and Avalanche Protection,,34-35 15 24 Laborer,13-23 13 11 Fire Command Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcPipeFittingType ,,
,,,,21-02 10 10 30 Balcony Floor Construction,11-13 11 24 14 Custody Transfer Facility,,,,,23-11 19 11 Bolt Down Snow Fences,,34-35 15 24 11 Skilled Laborer,13-23 13 13 Guard Stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcPipeSegmentType  ,,
,,,,21-02 10 10 40 Mezzanine Floor Construction,11-13 11 24 17 Placement Facility,,,,,23-11 19 13 Clamp on Equipment,,34-35 15 24 14 Unskilled Laborer,13-23 15 00 Loading Dock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcPlateType ,,
,,,,21-02 10 10 50 Ramps,11-13 11 27 Post Office,,,,,23-11 21 00 Pavements,,34-35 15 27 Installer,13-23 17 00 Restroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcProtectiveDeviceType ,,
,,,,21-02 10 10 90 Floor Construction Supplementary Components,11-13 11 31 Fire Station,,,,,23-11 21 11 Porous Paving,,34-35 15 31 Operator,13-23 17 11 Men's Restroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcPumpType ,,
,,,,21-02 10 20 Roof Construction,11-13 11 33 Detention Center,,,,,23-11 21 13 Roadways,,34-41 00 00 Utilization Roles,13-23 17 13 Women's Restroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcRailingType ,,
,,,,21-02 10 20 10 Roof Structural Frame,11-13 11 33 11 Prison,,,,,23-11 21 13 11 Portable Roadways,,34-41 14 00 Facility Use Roles,13-23 17 15 Unisex Restroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcRampFlightType ,,
,,,,"21-02 10 20 20 Roof Decks, Slabs, and Sheathing",11-13 11 33 14 Jail,,,,,23-11 21 13 13 Roadway Surfacing,,34-41 14 11 Facility Manager,13-23 19 00 Utility Equipment Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcSanitaryTerminalType ,,
,,,,21-02 10 20 30 Canopy Construction,11-13 11 33 17 Immigration Detention Center,,,,,23-11 21 13 13 11 Roadway Antiskid Texturing,,34-41 14 14 Facility Maintenance,13-23 19 11 Refrigerant Machinery Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcSensorType ,,
,,,,21-02 10 20 90 Roof Construction Supplementary Components,11-13 11 33 21 Juvenile Detention Center,,,,,23-11 21 13 15 Detectable Warning Surfaces for Roadways,,34-41 14 17 Facility Engineer,13-23 19 13 Furnace Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcSlabType ,,
,,,,21-02 10 80 Stairs,11-13 11 34 Embassy,,,,,23-11 21 13 15 11 Crosswalks,,34-41 31 00 Facility Service Roles,13-23 19 15 Incinerator Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcStackTerminalType ,,
,,,,21-02 10 80 10 Stair Construction,"11-13 11 37 Public Grounds Fencing, Gate, or Guard Tower",,,,,23-11 21 13 15 13 Warning Tiles,,34-41 31 11 Custodian,13-23 19 17 Fuel Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcStairFlightType ,,
,,,,21-02 10 80 30 Stair Soffits,11-13 21 00 Military Facility,,,,,23-11 21 15 Runways,,34-55 00 00 Support Roles,13-23 19 19 Gas Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcSwitchingDeviceType ,,
,,,,21-02 10 80 50 Stair Railings,11-13 21 11 Military Headquarters,,,,,23-11 21 15 11 Portable Runway,,34-55 11 00 Administrative Service Roles,13-23 19 21 Liquid Storage Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcSystemFurnitureElementType ,,
,,,,21-02 10 80 60 Fire Escapes,11-13 21 11 01 Pentagon,,,,,23-11 21 15 13 Helicopter Landing Pads,,34-55 11 11 Administrative Assistant,"13-23 19 23 Liquid Use, Dispensing and Mixing Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcTankType  ,,
,,,,21-02 10 80 70 Metal Walkways,11-13 21 12 Administrative Military Facility,,,,,23-11 21 15 15 Runway Surfacing,,34-55 11 14 Receptionist,13-23 19 25 Hydrogen Cutoff Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcTransformerType ,,
,,,,21-02 10 80 80 Ladders,11-13 21 14 Military Training Facility,,,,,23-11 21 15 15 11 Runway Antiskid Texturing,,34-55 11 17 Records Manager,13-23 19 27 Electrical Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcTransportElementType d,,
,,,,21-02 20 Exterior Vertical Enclosures,11-13 21 17 Military Research Facility,,,,,23-11 21 17 Paving Blocks,,34-55 11 21 Intern,13-23 19 29 Switch Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcTubeBundleType ,,
,,,,21-02 20 10 Exterior Walls,11-13 21 21 Military Base,,,,,23-11 21 17 11 Unit Pavers,,34-55 11 24 Assistant,13-23 19 31 Telecommunications Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcUnitaryEquipmentType ,,
,,,,21-02 20 10 10 Exterior Wall Veneer,11-13 21 24 Military Field Facility,,,,,23-11 21 17 11 11 Asphalt Block Pavers,,34-55 11 27 Trainer,13-23 19 33 Transformer Vault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcValveType ,,
,,,,21-02 20 10 20 Exterior Wall Construction,11-13 21 27 Joint Services Facility,,,,,23-11 21 17 11 13 Brick Pavers,,34-55 14 00 Professional Service Roles,13-23 21 00 Waste and Recycling Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcVibrationIsolatorType ,,
,,,,21-02 20 10 30 Exterior Wall Interior Skin,11-13 21 31 Remote Delivery Facility,,,,,23-11 21 17 11 15 Interlocking Precast Concrete Pavers,,34-55 14 11 Consultant,13-23 21 11 Hazardous Waste Storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcWallType ,,
,,,,21-02 20 10 40 Fabricated Exterior Wall Assemblies,11-13 21 34 Military Ground Operational Facility Other Than Building,,,,,23-11 21 17 11 17 Precast Concrete Pavers,,34-55 14 14 Librarian,13-23 23 00 Building Service Support Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcWasteTerminalType ,,
,,,,21-02 20 10 50 Parapets,11-13 21 37 Military Operational Support Facility Other Than Building,,,,,23-11 21 17 11 19 Pressed Pavers,,34-55 14 17 Draftsperson,13-23 23 11 Building Manager Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcWindowStyle ,,
,,,,21-02 20 10 60 Equipment Screens,11-13 21 41 Military Locker Room Facility,,,,,23-11 21 17 11 21 Stone Pavers,,34-55 14 19 Marketing Roles,13-23 23 13 Custodial Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcWindowStyle ,,
